approach,subject,bug_id,iterations,engine,variant,additional_failing,additional_passing,baseline_failing,baseline_passing,fault_localization_tests,validation_tests,test_collection_duration,repair_duration,evaluation_duration,best_fitness,precision,recall,f1_score,accuracy,patches,generations
PyGenProg,middle,1,10,sequential,B,0,0,1,1,2,2,1.9611382484436035,250.94303917884827,61.22665882110596,1.0,1.0,1.0,1.0,1.0,1,7
PyGenProg,middle,1,10,sequential,B,0,0,1,10,11,11,0.8697330951690674,357.46623373031616,245.17586517333984,0.09090909090909091,0.0,0.0,0.0,0.5,35,10
PyGenProg,middle,1,10,sequential,F,5,5,1,10,10,11,0.8516862392425537,254.4141812324524,66.14733862876892,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,10
PyGenProg,middle,1,10,sequential,F,10,10,1,10,20,11,0.8403835296630859,247.29469084739685,64.22778749465942,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,8
PyGenProg,middle,1,10,sequential,F,30,30,1,10,60,11,0.9552948474884033,243.3421049118042,52.089526414871216,1.0,1.0,1.0,1.0,1.0,1,8
PyGenProg,middle,1,10,sequential,F,50,50,1,10,100,11,0.7554535865783691,237.39330172538757,57.551615715026855,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,8
PyGenProg,middle,1,10,sequential,V,5,5,1,10,11,10,0.7806835174560547,299.2592022418976,64.51374697685242,0.9581818181818181,0.684931506849315,1.0,0.8130081300813007,0.77,3,10
PyGenProg,middle,1,10,sequential,V,10,10,1,10,11,20,1.0091993808746338,303.25673055648804,57.29577350616455,0.9581818181818181,0.684931506849315,1.0,0.8130081300813007,0.77,6,10
PyGenProg,middle,1,10,sequential,V,30,30,1,10,11,60,0.8848183155059814,658.694445848465,61.25194478034973,0.9581818181818181,0.684931506849315,1.0,0.8130081300813007,0.77,32,10
PyGenProg,middle,1,10,sequential,V,50,50,1,10,11,100,1.0614323616027832,424.42539739608765,111.23974752426147,0.09090909090909091,0.0,0.0,0.0,0.5,5,10
PyGenProg,middle,1,10,sequential,C,5,5,0,0,10,10,1.1392097473144531,273.19922137260437,54.12485957145691,0.9272727272727272,0.5555555555555556,1.0,0.7142857142857143,0.6,2,10
PyGenProg,middle,1,10,sequential,C,10,10,0,0,20,20,0.7916159629821777,343.7263650894165,54.534733057022095,0.9727272727272728,0.7692307692307693,1.0,0.8695652173913044,0.85,1,10
PyGenProg,middle,1,10,sequential,C,30,30,0,0,60,60,1.1844396591186523,621.8997559547424,51.87404537200928,0.9581818181818181,0.684931506849315,1.0,0.8130081300813007,0.77,39,10
PyGenProg,middle,1,10,sequential,C,50,50,0,0,100,100,0.7788486480712891,348.498991727829,50.64240264892578,1.0,1.0,1.0,1.0,1.0,1,3
PyGenProg,middle,2,10,sequential,B,0,0,1,1,2,2,0.9879453182220459,160.2519714832306,44.50721454620361,1.0,1.0,1.0,1.0,1.0,2,1
PyGenProg,middle,2,10,sequential,B,0,0,1,10,11,11,0.9751815795898438,156.50469541549683,53.06766390800476,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,2,1
PyGenProg,middle,2,10,sequential,F,5,5,1,10,10,11,0.9353382587432861,258.30809116363525,44.02926015853882,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,3
PyGenProg,middle,2,10,sequential,F,10,10,1,10,20,11,0.969397783279419,213.18253540992737,51.00636410713196,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,3
PyGenProg,middle,2,10,sequential,F,30,30,1,10,60,11,1.0874569416046143,218.82597160339355,42.225908041000366,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,1,3
PyGenProg,middle,2,10,sequential,F,50,50,1,10,100,11,1.1000847816467285,179.6576714515686,50.640089988708496,1.0,1.0,1.0,1.0,1.0,1,2
PyGenProg,middle,2,10,sequential,V,5,5,1,10,11,10,1.0615880489349365,414.93091106414795,51.01238393783569,1.0,1.0,1.0,1.0,1.0,1,7
PyGenProg,middle,2,10,sequential,V,10,10,1,10,11,20,1.0061168670654297,326.67686223983765,48.55332636833191,1.0,1.0,1.0,1.0,1.0,1,6
PyGenProg,middle,2,10,sequential,V,30,30,1,10,11,60,0.9969916343688965,455.55924248695374,54.226741313934326,1.0,1.0,1.0,1.0,1.0,1,9
PyGenProg,middle,2,10,sequential,V,50,50,1,10,11,100,0.9748263359069824,504.81063437461853,48.313711166381836,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,21,10
PyGenProg,middle,2,10,sequential,C,5,5,0,0,10,10,0.9748485088348389,439.7313346862793,49.569849491119385,0.9272727272727272,0.5555555555555556,1.0,0.7142857142857143,0.6,46,10
PyGenProg,middle,2,10,sequential,C,10,10,0,0,20,20,0.889948844909668,315.0200409889221,42.369901180267334,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,4,10
PyGenProg,middle,2,10,sequential,C,30,30,0,0,60,60,0.9938521385192871,426.4734482765198,40.97260284423828,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,49,10
PyGenProg,middle,2,10,sequential,C,50,50,0,0,100,100,0.7593796253204346,496.320595741272,40.78998136520386,0.9818181818181818,0.8333333333333334,1.0,0.9090909090909091,0.9,46,10
PyGenProg,calculator,1,10,sequential,B,0,0,1,1,2,2,1.0739593505859375,291.25283551216125,337.24274039268494,0.09090909090909091,0.0,0.0,0.0,0.5,37,10
PyGenProg,calculator,1,10,sequential,B,0,0,1,10,11,11,0.8819332122802734,272.21764087677,577.0582613945007,0.09090909090909091,0.0,0.0,0.0,0.5,16,10
PyGenProg,calculator,1,10,sequential,F,5,5,1,10,10,11,0.847100019454956,261.24835729599,568.5706312656403,0.09090909090909091,0.0,0.0,0.0,0.5,18,10
PyGenProg,calculator,1,10,sequential,F,10,10,1,10,20,11,0.8768646717071533,362.4169292449951,822.0364410877228,0.09090909090909091,0.0,0.0,0.0,0.5,20,10
PyGenProg,calculator,1,10,sequential,F,30,30,1,10,60,11,0.8710682392120361,301.70577025413513,571.3832061290741,0.09090909090909091,0.0,0.0,0.0,0.5,22,10
GENPROG,CALCULATOR,1,10,FAULT_LOCALIZATION,50,50,FileNotFoundError,[Errno 2] No such file or directory: PosixPath('/vol/fob-vol7/mi21/linkemar/Evaluierung/AvicennaAPR_G3/experiments/evaluation_pipeline/tmp/calculator_1'),1714,,,,,,,,,,,
GENPROG,CALCULATOR,1,10,VALIDATION,5,5,FileNotFoundError,[Errno 2] No such file or directory: PosixPath('/vol/fob-vol7/mi21/linkemar/Evaluierung/AvicennaAPR_G3/experiments/evaluation_pipeline/tmp/calculator_1'),1714,,,,,,,,,,,
GENPROG,CALCULATOR,1,10,VALIDATION,10,10,FileNotFoundError,[Errno 2] No such file or directory: PosixPath('/vol/fob-vol7/mi21/linkemar/Evaluierung/AvicennaAPR_G3/experiments/evaluation_pipeline/tmp/calculator_1'),1714,,,,,,,,,,,
GENPROG,CALCULATOR,1,10,VALIDATION,30,30,FileNotFoundError,[Errno 2] No such file or directory: PosixPath('/vol/fob-vol7/mi21/linkemar/Evaluierung/AvicennaAPR_G3/experiments/evaluation_pipeline/tmp/calculator_1'),1714,,,,,,,,,,,
GENPROG,CALCULATOR,1,10,VALIDATION,50,50,FileNotFoundError,[Errno 2] No such file or directory: PosixPath('/vol/fob-vol7/mi21/linkemar/Evaluierung/AvicennaAPR_G3/experiments/evaluation_pipeline/tmp/calculator_1'),1714,,,,,,,,,,,
GENPROG,CALCULATOR,1,10,COMPLETE,5,5,FileNotFoundError,[Errno 2] No such file or directory: PosixPath('/vol/fob-vol7/mi21/linkemar/Evaluierung/AvicennaAPR_G3/experiments/evaluation_pipeline/tmp/calculator_1'),1714,,,,,,,,,,,
GENPROG,CALCULATOR,1,10,COMPLETE,10,10,FileNotFoundError,[Errno 2] No such file or directory: PosixPath('/vol/fob-vol7/mi21/linkemar/Evaluierung/AvicennaAPR_G3/experiments/evaluation_pipeline/tmp/calculator_1'),1714,,,,,,,,,,,
GENPROG,CALCULATOR,1,10,COMPLETE,30,30,FileNotFoundError,[Errno 2] No such file or directory: PosixPath('/vol/fob-vol7/mi21/linkemar/Evaluierung/AvicennaAPR_G3/experiments/evaluation_pipeline/tmp/calculator_1'),1714,,,,,,,,,,,
GENPROG,CALCULATOR,1,10,COMPLETE,50,50,FileNotFoundError,[Errno 2] No such file or directory: PosixPath('/vol/fob-vol7/mi21/linkemar/Evaluierung/AvicennaAPR_G3/experiments/evaluation_pipeline/tmp/calculator_1'),1714,,,,,,,,,,,
GENPROG,EXPRESSION,1,10,BASELINE,1,1,FileNotFoundError,[Errno 2] No such file or directory: PosixPath('/vol/fob-vol7/mi21/linkemar/Evaluierung/AvicennaAPR_G3/experiments/evaluation_pipeline/tmp/expression_1'),1714,,,,,,,,,,,
GENPROG,EXPRESSION,1,10,BASELINE,1,10,FileNotFoundError,[Errno 2] No such file or directory: PosixPath('/vol/fob-vol7/mi21/linkemar/Evaluierung/AvicennaAPR_G3/experiments/evaluation_pipeline/tmp/expression_1'),1714,,,,,,,,,,,
GENPROG,EXPRESSION,1,10,FAULT_LOCALIZATION,5,5,FileNotFoundError,[Errno 2] No such file or directory: PosixPath('/vol/fob-vol7/mi21/linkemar/Evaluierung/AvicennaAPR_G3/experiments/evaluation_pipeline/tmp/expression_1'),1714,,,,,,,,,,,
GENPROG,EXPRESSION,1,10,FAULT_LOCALIZATION,10,10,FileNotFoundError,[Errno 2] No such file or directory: PosixPath('/vol/fob-vol7/mi21/linkemar/Evaluierung/AvicennaAPR_G3/experiments/evaluation_pipeline/tmp/expression_1'),1714,,,,,,,,,,,
GENPROG,EXPRESSION,1,10,FAULT_LOCALIZATION,30,30,FileNotFoundError,[Errno 2] No such file or directory: PosixPath('/vol/fob-vol7/mi21/linkemar/Evaluierung/AvicennaAPR_G3/experiments/evaluation_pipeline/tmp/expression_1'),1714,,,,,,,,,,,
GENPROG,EXPRESSION,1,10,FAULT_LOCALIZATION,50,50,FileNotFoundError,[Errno 2] No such file or directory: PosixPath('/vol/fob-vol7/mi21/linkemar/Evaluierung/AvicennaAPR_G3/experiments/evaluation_pipeline/tmp/expression_1'),1714,,,,,,,,,,,
GENPROG,EXPRESSION,1,10,VALIDATION,5,5,FileNotFoundError,[Errno 2] No such file or directory: PosixPath('/vol/fob-vol7/mi21/linkemar/Evaluierung/AvicennaAPR_G3/experiments/evaluation_pipeline/tmp/expression_1'),1714,,,,,,,,,,,
GENPROG,EXPRESSION,1,10,VALIDATION,10,10,FileNotFoundError,[Errno 2] No such file or directory: PosixPath('/vol/fob-vol7/mi21/linkemar/Evaluierung/AvicennaAPR_G3/experiments/evaluation_pipeline/tmp/expression_1'),1714,,,,,,,,,,,
GENPROG,EXPRESSION,1,10,VALIDATION,30,30,FileNotFoundError,[Errno 2] No such file or directory: PosixPath('/vol/fob-vol7/mi21/linkemar/Evaluierung/AvicennaAPR_G3/experiments/evaluation_pipeline/tmp/expression_1'),1714,,,,,,,,,,,
GENPROG,EXPRESSION,1,10,VALIDATION,50,50,FileNotFoundError,[Errno 2] No such file or directory: PosixPath('/vol/fob-vol7/mi21/linkemar/Evaluierung/AvicennaAPR_G3/experiments/evaluation_pipeline/tmp/expression_1'),1714,,,,,,,,,,,
GENPROG,EXPRESSION,1,10,COMPLETE,5,5,FileNotFoundError,[Errno 2] No such file or directory: PosixPath('/vol/fob-vol7/mi21/linkemar/Evaluierung/AvicennaAPR_G3/experiments/evaluation_pipeline/tmp/expression_1'),1714,,,,,,,,,,,
GENPROG,EXPRESSION,1,10,COMPLETE,10,10,FileNotFoundError,[Errno 2] No such file or directory: PosixPath('/vol/fob-vol7/mi21/linkemar/Evaluierung/AvicennaAPR_G3/experiments/evaluation_pipeline/tmp/expression_1'),1714,,,,,,,,,,,
GENPROG,EXPRESSION,1,10,COMPLETE,30,30,FileNotFoundError,[Errno 2] No such file or directory: PosixPath('/vol/fob-vol7/mi21/linkemar/Evaluierung/AvicennaAPR_G3/experiments/evaluation_pipeline/tmp/expression_1'),1714,,,,,,,,,,,
